2026/08/12 12:01:03.718269 [INIT] Logger initialized. Logging errors to terminal and file: logs/app.log
2026/08/12 12:01:05.960384 AutoMigrate warning: Error 3780 (HY000): Referencing column 'branch_id' and referenced column 'id' in foreign key constraint 'fk_users_branch' are incompatible.
2026/08/12 12:01:06.825403 Stationery Management System Server starting on port 8091...
2026/08/12 12:01:09.242555 [ERROR] [MAF001] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T12:01:09+05:30
2026/08/12 12:44:29.276913 [HTTP] 200 |    5.1940321s | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 12:44:32.201984 [HTTP] 200 |    7.1447353s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 12:44:35.213090 [HTTP] 200 |    2.6498263s | 10.10.100.45 | GET /api/v1/requests/14
2026/08/12 12:45:07.130285 [HTTP] 200 |     9.049433s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:06:59.840116 [ERROR] [MAF002] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T15:06:59+05:30
2026/08/12 15:06:59.843482 [HTTP] 401 |      3.3658ms | 10.10.100.45 | GET /api/v1/auth/me
2026/08/12 15:07:23.618461 [HTTP] 200 |    351.0009ms | 10.10.100.45 | POST /api/v1/auth/login
2026/08/12 15:07:24.038060 [HTTP] 200 |    105.8809ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:07:24.041001 [HTTP] 200 |    109.7375ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:07:41.035733 [HTTP] 200 |     37.4397ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:07:43.943932 [HTTP] 200 |     11.7065ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:07:45.982612 [HTTP] 200 |    101.2858ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:07:58.850295 [HTTP] 200 |    273.1723ms | 10.10.100.45 | POST /api/v1/requests/23/deliver
2026/08/12 15:07:58.926053 [HTTP] 200 |     59.8477ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:08:03.353639 [HTTP] 200 |     29.9899ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:09:58.779519 [HTTP] 200 |            0s | 10.10.100.2 | GET /api/v1/auth/me
2026/08/12 15:09:59.497287 [HTTP] 200 |    347.7329ms | 10.10.100.2 | GET /api/v1/products
2026/08/12 15:10:02.729070 [HTTP] 200 |    3.5785206s | 10.10.100.2 | GET /api/v1/requests
2026/08/12 15:10:05.695298 [HTTP] 200 |    1.7394155s | 10.10.100.2 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:10:05.809694 [HTTP] 200 |    1.7932445s | 10.10.100.2 | GET /api/v1/requests
2026/08/12 15:10:15.196619 [HTTP] 200 |    908.1403ms | 10.10.100.45 | POST /api/v1/requests/24/verify
2026/08/12 15:11:46.220523 [HTTP] 200 |    708.1605ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 15:12:00.095265 [HTTP] 201 |    1.5421503s | 10.10.100.45 | POST /api/v1/requests
2026/08/12 15:12:05.040504 [HTTP] 200 |    2.2338105s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:12:13.507551 [HTTP] 200 |    773.3212ms | 10.10.100.45 | POST /api/v1/requests/25/approve
2026/08/12 15:12:20.887858 [HTTP] 200 |    1.4951216s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:12:24.408921 [HTTP] 200 |    3.2488138s | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:12:33.768136 [HTTP] 200 |      154.06ms | 10.10.100.45 | POST /api/v1/requests/25/deliver
2026/08/12 15:12:33.840011 [HTTP] 200 |     57.2827ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:12:37.229896 [HTTP] 200 |     797.157ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:19:20.569004 [HTTP] 200 |            0s | 10.10.100.45 | GET /api/v1/auth/me
2026/08/12 15:19:20.718389 [HTTP] 200 |    104.5689ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 15:19:20.959271 [HTTP] 200 |    337.9485ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:19:23.913154 [HTTP] 200 |    154.8141ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:19:23.914267 [HTTP] 200 |    150.0698ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:19:48.661650 [HTTP] 200 |      20.869ms | 10.10.100.45 | GET /api/v1/users
2026/08/12 15:20:00.378834 [HTTP] 200 |       759.9µs | 10.10.100.45 | POST /api/v1/auth/logout
2026/08/12 15:20:13.361101 [HTTP] 200 |    791.5498ms | 10.10.100.45 | POST /api/v1/auth/login
2026/08/12 15:20:13.934226 [ERROR] [MAF003] You do not have permission to perform this action | File: middleware/auth_middleware.go | Func: main.main.RequireRoles.func16 | Time: 2026-08-12T15:20:13+05:30
2026/08/12 15:20:14.038193 [HTTP] 403 |     104.526ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
2026/08/12 15:20:14.187105 [HTTP] 200 |    271.4355ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:20:18.359847 [HTTP] 200 |     65.0071ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:20:22.960369 [HTTP] 200 |     57.5317ms | 10.10.100.45 | GET /api/v1/requests
2026/08/12 15:20:25.531231 [HTTP] 200 |      5.4499ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 15:20:31.286189 [HTTP] 200 |     62.7846ms | 10.10.100.45 | GET /api/v1/products
2026/08/12 15:43:41.952140 [ERROR] [MAF004] Authorization token required | File: middleware/auth_middleware.go | Func: main.main.JWTAuth.func9 | Time: 2026-08-12T15:43:41+05:30
2026/08/12 15:43:41.954828 [HTTP] 401 |      2.6878ms | 10.10.100.45 | GET /api/v1/auth/me
2026/08/12 15:43:59.346935 [HTTP] 200 |    304.8781ms | 10.10.100.45 | POST /api/v1/auth/login
2026/08/12 15:43:59.870491 [HTTP] 200 |     97.1245ms | 10.10.100.45 | GET /api/v1/monitor/delayed-orders
